,award_company,award_type,movie,person,year
0,oscars,best_director,Sorrell and Son,Herbert Brenon,1927
1,oscars,best_director,The Crowd,King Vidor,1927
2,oscars,best_director,Two Arabian Knights,Lewis Milestone,1927
3,oscars,best_director,Speedy,Ted Wilde,1927
4,oscars,best_director,Madame X,Lionel Barrymore,1928
5,oscars,best_director,The Broadway Melody,Harry Beaumont,1928
6,oscars,best_director,In Old Arizona,Irving Cummings,1928
7,oscars,best_director,Drag,Frank Lloyd,1928
8,oscars,best_director,The Patriot,Ernst Lubitsch,Weary River
9,oscars,best_director,Anna Christie,Clarence Brown,1929
10,oscars,best_director,The Divorcee,Robert Z. Leonard,Romance
11,oscars,best_director,The Love Parade,Ernst Lubitsch,Romance
12,oscars,best_director,Hallelujah!,King Vidor,Romance
13,oscars,best_director,A Free Soul,Clarence Brown,1930
14,oscars,best_director,The Front Page,Lewis Milestone,1930
15,oscars,best_director,Cimarron,Wesley Ruggles,1930
16,oscars,best_director,Morocco,Josef von Sternberg,1930
17,oscars,best_director,The Champ,King Vidor,1931
18,oscars,best_director,Shanghai Express,Josef von Sternberg,1931
19,oscars,best_director,Lady for a Day,Frank Capra,1932
20,oscars,best_director,Little Women,George Cukor,1932
21,oscars,best_director,One Night of Love,Victor Schertzinger,1934
22,oscars,best_director,The Thin Man,W. S. Van Dyke,1934
23,oscars,best_director,The Lives of a Bengal Lancer,Henry Hathaway,1935
24,oscars,best_director,Mutiny on the Bounty,Frank Lloyd,1935
25,oscars,best_director,My Man Godfrey,Gregory La Cava,1936
26,oscars,best_director,The Great Ziegfeld,Robert Z. Leonard,1936
27,oscars,best_director,San Francisco,W. S. Van Dyke,1936
28,oscars,best_director,Dodsworth,William Wyler,1936
29,oscars,best_director,The Life of Emile Zola,William Dieterle,1937
30,oscars,best_director,The Good Earth,Sidney Franklin,1937
31,oscars,best_director,Stage Door,Gregory La Cava,1937
32,oscars,best_director,A Star Is Born,William A. Wellman,1937
33,oscars,best_director,Angels with Dirty Faces,Michael Curtiz,1938
34,oscars,best_director,Boys Town,Norman Taurog,Four Daughters
35,oscars,best_director,The Citadel,King Vidor,Four Daughters
36,oscars,best_director,Mr. Smith Goes to Washington,Frank Capra,1939
37,oscars,best_director,Stagecoach,John Ford,1939
38,oscars,best_director,"Goodbye, Mr. Chips",Sam Wood,1939
39,oscars,best_director,Wuthering Heights,William Wyler,1939
40,oscars,best_director,The Philadelphia Story,George Cukor,1940
41,oscars,best_director,Rebecca,Alfred Hitchcock,1940
42,oscars,best_director,Kitty Foyle,Sam Wood,1940
43,oscars,best_director,The Letter,William Wyler,1940
44,oscars,best_director,Here Comes Mr. Jordan,Alexander Hall,1941
45,oscars,best_director,Sergeant York,Howard Hawks,1941
46,oscars,best_director,Citizen Kane,Orson Welles,1941
47,oscars,best_director,The Little Foxes,William Wyler,1941
48,oscars,best_director,Yankee Doodle Dandy,Michael Curtiz,1942
49,oscars,best_director,Wake Island,John Farrow,1942
50,oscars,best_director,Random Harvest,Mervyn LeRoy,1942
51,oscars,best_director,Kings Row,Sam Wood,1942
52,oscars,best_director,The Human Comedy,Clarence Brown,1943
53,oscars,best_director,The Song of Bernadette,Henry King,1943
