,award_company,award_type,movie,person,year
0,oscars,best_director,7th Heaven,Frank Borzage,1927
1,oscars,best_director,The Divine Lady,Frank Lloyd,1928
2,oscars,best_director,All Quiet on the Western Front,Lewis Milestone,1929
3,oscars,best_director,Skippy,Norman Taurog,1930
4,oscars,best_director,Bad Girl,Frank Borzage,1931
5,oscars,best_director,Cavalcade,Frank Lloyd,1932
6,oscars,best_director,It Happened One Night,Frank Capra,1934
7,oscars,best_director,The Informer,John Ford,1935
8,oscars,best_director,Mr. Deeds Goes to Town,Frank Capra,1936
9,oscars,best_director,The Awful Truth,Leo McCarey,1937
10,oscars,best_director,You Can't Take It with You,Frank Capra,1938
11,oscars,best_director,Gone with the Wind,Victor Fleming,1939
12,oscars,best_director,The Grapes of Wrath,John Ford,1940
13,oscars,best_director,How Green Was My Valley,John Ford,1941
14,oscars,best_director,Mrs. Miniver,William Wyler,1942
15,oscars,best_director,Casablanca,Michael Curtiz,1943
16,oscars,best_director,Going My Way,Leo McCarey,1944
17,oscars,best_director,The Lost Weekend,Billy Wilder,1945
18,oscars,best_director,The Best Years of Our Lives,William Wyler,1946
19,oscars,best_director,Gentleman's Agreement,Elia Kazan,1947
20,oscars,best_director,The Treasure of the Sierra Madre,John Huston,1948
21,oscars,best_director,A Letter to Three Wives,Joseph L. Mankiewicz,1949
22,oscars,best_director,All About Eve,Joseph L. Mankiewicz,1950
23,oscars,best_director,A Place in the Sun,George Stevens,1951
24,oscars,best_director,The Quiet Man,John Ford,1952
25,oscars,best_director,From Here to Eternity,Fred Zinnemann,1953
26,oscars,best_director,On the Waterfront,Elia Kazan,1954
27,oscars,best_director,Marty,Delbert Mann,1955
28,oscars,best_director,Giant,George Stevens,1956
29,oscars,best_director,The Bridge on the River Kwai,David Lean,1957
30,oscars,best_director,Gigi,Vincente Minnelli,1958
31,oscars,best_director,Ben-Hur,William Wyler,1959
32,oscars,best_director,The Apartment,Billy Wilder,1960
33,oscars,best_director,West Side Story,Jerome Robbins,1961
34,oscars,best_director,Lawrence of Arabia,David Lean,1962
35,oscars,best_director,Tom Jones,Tony Richardson,1963
36,oscars,best_director,My Fair Lady,George Cukor,1964
37,oscars,best_director,The Sound of Music,Robert Wise,1965
38,oscars,best_director,A Man for All Seasons,Fred Zinnemann,1966
39,oscars,best_director,The Graduate,Mike Nichols,1967
40,oscars,best_director,Oliver!,Carol Reed,1968
41,oscars,best_director,Midnight Cowboy,John Schlesinger,1969
42,oscars,best_director,Patton,Franklin J. Schaffner,1970
43,oscars,best_director,The French Connection,William Friedkin,1971
44,oscars,best_director,Cabaret,Bob Fosse,1972
45,oscars,best_director,The Sting,George Roy Hill,1973
46,oscars,best_director,The Godfather Part II,Francis Ford Coppola,1974
