,0,1,2,3,4,5,6,7,8,9
0,"""bill""","""life""","""make""","""last""","""list""","""live""","""death""","""wrong""","""payback""","""shoot"""
1,"""film""","""suicide""","""life""","""escape""","""force""","""evidence""","""hold""","""master""","""star""","""political"""
2,"""life""","""mission""","""exist""","""record""","""set""","""daughter""","""help""","""man""","""film""","""green"""
3,"""put""","""send""","""get""","""force""","""back""","""unit""","""want""","""boot""","""cheat""","""kill"""
4,"""man""","""young""","""commit""","""start""","""death""","""involve""","""garbage""","""much""","""worker""","""nikander"""
5,"""man""","""father""","""family""","""commit""","""average""","""thrust""","""odd""","""coma""","""self""","""share"""
6,"""meet""","""daydream""","""first""","""end""","""life""","""man""","""escape""","""get""","""belong""","""spend"""
7,"""find""","""love""","""city""","""class""","""memory""","""help""","""take""","""fall""","""sharply""","""lunar"""
8,"""make""","""life""","""event""","""thing""","""love""","""take""","""way""","""young""","""great""","""father"""
9,"""virus""","""send""","""back""","""force""","""railly""","""expert""","""mental""","""killer""","""community""","""survivor"""
10,"""drug""","""become""","""battle""","""man""","""death""","""world""","""fuel""","""serve""","""fight""","""emperor"""
11,"""help""","""program""","""go""","""capone""","""work""","""meet""","""time""","""parent""","""ness""","""malone"""
12,"""mathilda""","""professor""","""suited""","""hire""","""locate""","""find""","""government""","""celebrate""","""entire""","""nazi"""
13,"""high""","""society""","""car""","""cecilie""","""get""","""woman""","""bring""","""assure""","""woody""","""start"""
14,"""film""","""story""","""way""","""find""","""vice""","""village""","""life""","""land""","""agree""","""tell"""
15,"""story""","""promoter""","""first""","""fill""","""s""","""film""","""trouble""","""boxing""","""character""","""second"""
16,"""go""","""polish""","""find""","""hunt""","""see""","""force""","""business""","""lose""","""take""","""hire"""
17,"""son""","""see""","""return""","""find""","""boy""","""never""","""seek""","""single""","""actress""","""barcelona"""
18,"""monk""","""live""","""year""","""lose""","""old""","""take""","""become""","""amount""","""different""","""guy"""
19,"""earth""","""footstep""","""holy""","""grail""","""stop""","""follow""","""schneider""","""eminent""","""life""","""father"""
20,"""marry""","""ring""","""old""","""world""","""parent""","""beautiful""","""circus""","""deformed""","""artist""","""show"""
21,"""antoine""","""infect""","""virus""","""day""","""life""","""young""","""animal""","""carry""","""protect""","""facility"""
22,"""day""","""town""","""small""","""visit""","""tv""","""find""","""parole""","""mawkish""","""cameraman""","""narcissistic"""
23,"""holly""","""golightly""","""build""","""move""","""woman""","""find""","""writer""","""scene""","""dime""","""captivate"""
24,"""law""","""summer""","""life""","""reveal""","""day""","""break""","""bring""","""gandalf""","""meet""","""save"""
25,"""life""","""begin""","""journey""","""lugosi""","""film""","""tell""","""destroy""","""find""","""time""","""try"""
26,"""steal""","""lead""","""crossroad""","""daughter""","""skilled""","""impetuous""","""life""","""teenage""","""warrior""","""physically"""
27,"""young""","""life""","""find""","""way""","""fight""","""destroy""","""war""","""soldier""","""horror""","""human"""
28,"""school""","""station""","""railway""","""search""","""life""","""love""","""mark""","""follow""","""witness""","""beginning"""
29,"""thing""","""face""","""order""","""tell""","""find""","""head""","""attempt""","""family""","""duo""","""woe"""
30,"""irene""","""get""","""boss""","""help""","""live""","""daughter""","""use""","""several""","""murder""","""rum"""
31,"""german""","""spy""","""man""","""young""","""find""","""capture""","""monk""","""old""","""break""","""time"""
32,"""war""","""play""","""aunt""","""mortimer""","""man""","""city""","""get""","""kill""","""power""","""watch"""
33,"""get""","""school""","""investigator""","""sea""","""man""","""free""","""diving""","""dolphin""","""century""","""kill"""
34,"""american""","""remote""","""supply""","""oil""","""man""","""plan""","""headquarters""","""investigate""","""agent""","""overhear"""
35,"""new""","""town""","""buzz""","""kid""","""life""","""victim""","""tough""","""city""","""try""","""call"""
36,"""monk""","""several""","""authority""","""fight""","""intelligence""","""solve""","""considerable""","""circumstance""","""use""","""franciscan"""
37,"""film""","""stir""","""important""","""employment""","""love""","""favorite""","""together""","""fall""","""actor""","""director"""
38,"""jigsaw""","""victim""","""murder""","""find""","""join""","""life""","""face""","""fight""","""man""","""game"""
39,"""relate""","""war""","""compete""","""find""","""caf""","""day""","""discover""","""soon""","""painfully""","""bump"""
40,"""find""","""barge""","""admit""","""disrupt""","""river""","""young""","""board""","""drifter""","""dead""","""hide"""
41,"""woman""","""antoine""","""first""","""find""","""serious""","""muriel""","""film""","""amusing""","""wed""","""s"""
42,"""live""","""set""","""ginzo""","""film""","""boy""","""writer""","""find""","""miss""","""journey""","""death"""
43,"""family""","""film""","""find""","""make""","""crime""","""attempt""","""student""","""footage""","""idolize""","""cancel"""
44,"""film""","""rath""","""night""","""young""","""life""","""return""","""club""","""cabaret""","""angel""","""school"""
45,"""kill""","""gang""","""send""","""pose""","""alcoholic""","""tomczyk""","""father""","""protest""","""wife""","""surround"""
46,"""become""","""serial""","""childhood""","""medium""","""lover""","""traumatize""","""psychopathic""","""glorify""","""victim""","""mass"""
47,"""dicken""","""film""","""steal""","""adaptation""","""orphan""","""household""","""boy""","""classic""","""meet""","""version"""
48,"""think""","""turn""","""apple""","""count""","""help""","""lot""","""jam""","""come""","""downtown""","""spanish"""
49,"""gang""","""antoine""","""live""","""go""","""age""","""colette""","""history""","""take""","""german""","""fall"""
50,"""film""","""gang""","""block""","""alternative""","""desert""","""director""","""bandit""","""leader""","""western""","""deliver"""
51,"""film""","""get""","""yakuza""","""first""","""homeland""","""little""","""deadly""","""take""","""brother""","""exile"""
52,"""french""","""female""","""relationship""","""war""","""underworld""","""major""","""city""","""knight""","""begin""","""homicidal"""
53,"""try""","""german""","""kill""","""young""","""keep""","""rancher""","""car""","""small""","""run""","""hire"""
54,"""day""","""park""","""deal""","""contain""","""tell""","""solve""","""murder""","""dinosaur""","""way""","""murderer"""
55,"""go""","""get""","""resistance""","""target""","""run""","""s""","""ransom""","""year""","""deadly""","""termination"""
56,"""park""","""dinosaur""","""team""","""amusing""","""relationship""","""together""","""run""","""experience""","""female""","""security"""
57,"""hotel""","""make""","""life""","""film""","""dollar""","""clear""","""collaboration""","""also""","""start""","""soundtrack"""
58,"""land""","""close""","""get""","""epic""","""classic""","""railroad""","""protect""","""film""","""desperado""","""western"""
59,"""willy""","""team""","""get""","""s""","""plan""","""hire""","""life""","""low""","""return""","""jewish"""
60,"""catwoman""","""attempt""","""batman""","""building""","""businessman""","""decide""","""different""","""deform""","""expose""","""personality"""
61,"""rojo""","""brother""","""new""","""long""","""mexican""","""pay""","""struggle""","""intend""","""gold""","""false"""
62,"""film""","""life""","""documentary""","""german""","""work""","""cause""","""ocean""","""adventure""","""crisis""","""lead"""
63,"""film""","""pianist""","""couple""","""planet""","""egg""","""crew""","""give""","""scene""","""second""","""terrible"""
64,"""film""","""lisbon""","""high""","""friend""","""love""","""young""","""try""","""set""","""story""","""wender"""
65,"""village""","""protection""","""revolutionary""","""bandit""","""fall""","""battle""","""soldier""","""attack""","""giant""","""villager"""
66,"""jury""","""rest""","""accuse""","""murder""","""decide""","""young""","""prejudice""","""case""","""begin""","""spanish"""
67,"""death""","""kill""","""obsess""","""become""","""bill""","""repay""","""sister""","""gelsomina""","""little""","""mother"""
68,"""old""","""year""","""lauren""","""strange""","""man""","""make""","""ill""","""undertake""","""brother""","""story"""
69,"""time""","""meet""","""sexual""","""film""","""self""","""yet""","""woman""","""harold""","""live""","""world"""
70,"""porch""","""series""","""couple""","""front""","""plant""","""videotape""","""terrorize""","""married""","""film""","""story"""
71,"""world""","""story""","""man""","""film""","""marry""","""raise""","""wild""","""faith""","""change""","""fight"""
72,"""film""","""death""","""story""","""addict""","""new""","""know""","""inner""","""live""","""journey""","""life"""
73,"""help""","""black""","""man""","""make""","""involve""","""turn""","""world""","""find""","""people""","""immigrant"""
74,"""search""","""black""","""detective""","""client""","""murderer""","""cop""","""love""","""meet""","""find""","""stranger"""
75,"""fly""","""survivor""","""blonde""","""botched""","""crime""","""bickering""","""pressure""","""guy""","""poppin""","""beget"""
76,"""get""","""man""","""film""","""level""","""help""","""potential""","""attempt""","""make""","""herzog""","""discover"""
77,"""find""","""stranger""","""meet""","""sailor""","""lula""","""life""","""young""","""way""","""variety""","""daily"""
78,"""start""","""go""","""new""","""world""","""expose""","""medical""","""monumental""","""injustice""","""twice""","""record"""
79,"""make""","""travel""","""situation""","""real""","""attract""","""sexual""","""shakespeare""","""quest""","""trick""","""find"""
80,"""famous""","""get""","""team""","""director""","""story""","""life""","""way""","""grow""","""trouble""","""raise"""
81,"""spider""","""alter""","""leave""","""love""","""power""","""high""","""bitten""","""amazing""","""nerdy""","""student"""
82,"""art""","""murder""","""name""","""artist""","""year""","""discover""","""go""","""assume""","""plot""","""scene"""
83,"""go""","""alice""","""discover""","""marion""","""seem""","""life""","""director""","""little""","""work""","""larcenous"""
84,"""town""","""get""","""form""","""dancer""","""life""","""film""","""seemingly""","""love""","""catch""","""new"""
85,"""prison""","""big""","""story""","""scoop""","""begin""","""incident""","""unfurl""","""student""","""go""","""mentor"""
86,"""story""","""tell""","""officer""","""true""","""traveler""","""rape""","""man""","""take""","""moral""","""crime"""
87,"""name""","""beautiful""","""suspect""","""compulsive""","""novel""","""decide""","""boss""","""alfred""","""way""","""new"""
88,"""life""","""story""","""man""","""love""","""begin""","""gambling""","""get""","""student""","""team""","""time"""
89,"""grace""","""set""","""town""","""mcclane""","""name""","""man""","""face""","""criminal""","""shoulder""","""punish"""
90,"""name""","""ship""","""alien""","""young""","""take""","""lead""","""however""","""story""","""year""","""child"""
91,"""man""","""story""","""suspect""","""observe""","""get""","""time""","""life""","""begin""","""come""","""alive"""
92,"""dream""","""fear""","""relative""","""confront""","""travel""","""road""","""title""","""anniversary""","""well""","""receive"""
93,"""mothership""","""alien""","""young""","""vacation""","""film""","""ensure""","""son""","""save""","""hand""","""silence"""
94,"""send""","""solaris""","""strange""","""couple""","""voyage""","""name""","""remain""","""consciousness""","""stanislaw""","""resident"""
95,"""s""","""viktor""","""shark""","""leave""","""seek""","""earth""","""man""","""plane""","""take""","""recognize"""
96,"""shocking""","""fact""","""abort""","""potential""","""brutality""","""psycho""","""hide""","""control""","""human""","""experiment"""
97,"""black""","""man""","""attack""","""scout""","""terrorist""","""earth""","""israeli""","""group""","""reaction""","""old"""
98,"""life""","""crew""","""story""","""astronaut""","""earth""","""author""","""base""","""fail""","""begin""","""true"""
99,"""farm""","""find""","""join""","""gang""","""life""","""next""","""due""","""foreclosure""","""head""","""louvre"""
100,"""drug""","""try""","""make""","""friend""","""thing""","""man""","""life""","""wife""","""find""","""ask"""
101,"""make""","""story""","""capture""","""bar""","""legal""","""dollar""","""elude""","""doctor""","""con""","""check"""
102,"""life""","""re""","""year""","""still""","""travel""","""memory""","""find""","""man""","""time""","""friend"""
103,"""book""","""world""","""war""","""bring""","""gate""","""shadow""","""deal""","""worship""","""unscrupulous""","""rare"""
104,"""beast""","""time""","""return""","""key""","""love""","""simple""","""beauty""","""girl""","""unable""","""death"""
105,"""agent""","""addiction""","""story""","""overcome""","""wife""","""machine""","""life""","""game""","""series""","""silent"""
106,"""creative""","""jewish""","""entire""","""ancestry""","""come""","""game""","""camp""","""family""","""tale""","""concentration"""
107,"""seem""","""army""","""johnny""","""dock""","""murder""","""information""","""try""","""bring""","""escape""","""man"""
108,"""trojan""","""begin""","""life""","""greek""","""help""","""leave""","""hold""","""verbal""","""story""","""find"""
109,"""film""","""story""","""woman""","""nation""","""high""","""silent""","""negative""","""birth""","""make""","""life"""
110,"""year""","""hogwart""","""revenge""","""mysterious""","""attack""","""devastating""","""put""","""come""","""start""","""tournament"""
111,"""revenge""","""syndicate""","""prevent""","""janus""","""leader""","""school""","""devastating""","""system""","""head""","""utilize"""
112,"""fall""","""singer""","""drama""","""way""","""margo""","""stage""","""turmoil""","""critic""","""wife""","""moment"""
113,"""find""","""baron""","""film""","""german""","""colonist""","""planet""","""accept""","""family""","""old""","""year"""
114,"""film""","""good""","""find""","""equal""","""send""","""base""","""return""","""ultimately""","""spectacular""","""naval"""
115,"""name""","""film""","""day""","""british""","""wedding""","""live""","""man""","""american""","""capture""","""determine"""
116,"""learn""","""s""","""school""","""film""","""release""","""fall""","""mother""","""play""","""second""","""theater"""
117,"""face""","""year""","""return""","""come""","""black""","""time""","""turn""","""hogwart""","""lupin""","""sympathetic"""
118,"""love""","""live""","""greek""","""alisdair""","""life""","""man""","""story""","""become""","""put""","""friend"""
119,"""live""","""jamal""","""name""","""film""","""remote""","""world""","""station""","""owner""","""date""","""escape"""
120,"""war""","""brave""","""sir""","""knight""","""recruit""","""still""","""carry""","""reconstruction""","""civil""","""woman"""
121,"""agent""","""terrorist""","""dead""","""record""","""get""","""look""","""family""","""home""","""go""","""antiterrorism"""
122,"""car""","""film""","""esmond""","""gus""","""friend""","""man""","""steal""","""daughter""","""comedy""","""behavior"""
123,"""young""","""life""","""war""","""space""","""wife""","""man""","""local""","""begin""","""confront""","""food"""
124,"""knight""","""famous""","""sir""","""brave""","""taste""","""decide""","""restaurant""","""lancelot""","""way""","""black"""
125,"""see""","""dead""","""name""","""learn""","""year""","""boy""","""believe""","""crowe""","""psychological""","""deal"""
126,"""lionel""","""transform""","""half""","""class""","""german""","""race""","""family""","""mother""","""stand""","""control"""
127,"""people""","""find""","""lead""","""finally""","""train""","""mysterious""","""object""","""group""","""history""","""beautiful"""
128,"""old""","""get""","""dad""","""weekend""","""student""","""demonic""","""ve""","""surround""","""unleash""","""find"""
129,"""alma""","""seemingly""","""secret""","""submerge""","""healthy""","""charge""","""persona""","""vogler""","""respect""","""elisabeth"""
130,"""love""","""child""","""become""","""bring""","""woman""","""novel""","""bear""","""flaunt""","""delassalle""","""hatred"""
131,"""effort""","""killer""","""sin""","""story""","""classic""","""film""","""force""","""find""","""haunt""","""partner"""
132,"""face""","""earth""","""nazi""","""spacecraft""","""pod""","""come""","""planet""","""love""","""room""","""try"""
133,"""station""","""meet""","""life""","""tanker""","""see""","""medium""","""love""","""begin""","""unusual""","""kind"""
134,"""girl""","""become""","""bride""","""arrive""","""alien""","""prince""","""rescue""","""planet""","""invader""","""companion"""
135,"""take""","""find""","""get""","""however""","""bet""","""american""","""anns""","""romance""","""park""","""exclusive"""
136,"""theory""","""film""","""french""","""camp""","""implement""","""concentration""","""plan""","""stranger""","""socialite""","""problem"""
137,"""live""","""music""","""life""","""moral""","""gitte""","""dealing""","""wife""","""passion""","""other""","""crime"""
138,"""place""","""battle""","""stalingard""","""war""","""take""","""film""","""gate""","""discover""","""assassination""","""story"""
139,"""become""","""feel""","""happen""","""isolated""","""draw""","""wilderness""","""encounter""","""area""","""spectacular""","""ufos"""
140,"""voice""","""love""","""movie""","""screen""","""silent""","""film""","""studio""","""mistake""","""face""","""aspire"""
141,"""film""","""computer""","""alone""","""doll""","""boy""","""love""","""unvanquishe""","""scholarship""","""leave""","""study"""
142,"""high""","""lawyer""","""official""","""haze""","""case""","""uncover""","""implicate""","""murder""","""cocky""","""assign"""
143,"""find""","""take""","""tony""","""become""","""place""","""chip""","""painter""","""work""","""begin""","""big"""
144,"""car""","""accident""","""find""","""return""","""day""","""man""","""dream""","""wife""","""director""","""try"""
145,"""film""","""find""","""life""","""baby""","""director""","""coffee""","""series""","""collection""","""cigarette""","""woman"""
146,"""film""","""love""","""bring""","""take""","""place""","""adventure""","""war""","""star""","""story""","""train"""
147,"""life""","""come""","""man""","""film""","""barrie""","""writer""","""story""","""play""","""find""","""win"""
148,"""bad""","""celie""","""leave""","""find""","""life""","""dream""","""day""","""hold""","""thing""","""live"""
